,Consensus_area,Bioregion,Hb,Hc
1,D1CA0,Cerrado and associated dry areas,0.8816,12.1283
2,D1CA0,Coastal Brazil,10.0075,49.8191
3,D1CA1,Amazonia,2.9971,64.2218
4,D1CA1,Guyana Highlands,27.4033,21.9399
5,D1CA1,Guiana Subregion,0.0804,0.2248
6,D1CA1,Northern Colombia and Venezuela,4.049,13.6126
7,D1CA2,Cerrado and associated dry areas,3.203,52.5901
8,D1CA2,Coastal Brazil,7.521,44.685
9,D1CA3,Cerrado and associated dry areas,1.2654,21.8683
10,D1CA3,Coastal Brazil,8.9345,55.8712
11,D1CA4,Amazonia,0.042,1.0585
12,D1CA4,Guiana Subregion,20.2982,66.746
13,D1CA5,Cerrado and associated dry areas,0.2397,10.2763
14,D1CA5,Coastal Brazil,4.1005,63.6088
15,D1CA6,Cerrado and associated dry areas,1.9015,100
16,D1CA7,Amazonia,1.6356,100
17,D1CA8,Cerrado and associated dry areas,0.0561,1.9647
18,D1CA8,Coastal Brazil,4.9973,63.3852
19,D1CA9,Cerrado and associated dry areas,0.1783,7.4817
20,D1CA9,Coastal Brazil,3.6746,55.7836
21,D2CA0,Cerrado and associated dry areas,49.6044,63.4791
22,D2CA0,Coastal Brazil,26.5163,12.2788
23,D2CA1,Cerrado and associated dry areas,9.3039,46.8877
24,D2CA1,Coastal Brazil,21.3694,38.9691
25,D2CA10,Amazonia,0.1481,1.983
26,D2CA10,Guiana Subregion,38.551,67.3135
27,D2CA11,Amazonia,2.061,3.2719
28,D2CA11,Cerrado and associated dry areas,53.983,71.6031
29,D2CA11,Coastal Brazil,40.2647,19.3256
30,D2CA12,Mexico and Central America,21.7919,64.7813
31,D2CA13,Cerrado and associated dry areas,0.4584,3.4681
32,D2CA13,Coastal Brazil,21.2182,58.0902
33,D2CA14,Northern Colombia and Venezuela,53.8731,53.922
34,D2CA14,Northern Andes,18.7043,12.518
35,D2CA15,Cerrado and associated dry areas,10.2097,33.4889
36,D2CA15,Coastal Brazil,33.9706,40.3203
37,D2CA16,Amazonia,28.2499,69.3416
38,D2CA16,Northern Colombia and Venezuela,1.4397,0.5544
39,D2CA16,Northern Andes,38.2606,9.8522
40,D2CA16,Southern Andes,20.5046,19.7222
41,D2CA17,Northern Colombia and Venezuela,28.5122,43.9276
42,D2CA17,Northern Andes,35.6249,36.6994
43,D2CA18,Amazonia,88.3782,70.3557
44,D2CA18,Cerrado and associated dry areas,1.2209,0.8121
45,D2CA18,Guyana Highlands,100,2.9744
46,D2CA18,Guiana Subregion,100,10.3795
47,D2CA18,Northern Colombia and Venezuela,56.0004,6.9944
48,D2CA18,Northern Andes,4.922,0.4111
49,D2CA18,Southern Andes,7.0941,2.213
50,D2CA19,Cerrado and associated dry areas,13.5029,94.9458
51,D2CA19,Coastal Brazil,1.8476,4.7009
52,D2CA2,Amazonia,0.2137,1.6402
53,D2CA2,Cerrado and associated dry areas,14.6265,93.8009
54,D2CA20,Amazonia,33.0898,63.2016
55,D2CA20,Cerrado and associated dry areas,4.2494,6.7815
56,D2CA20,Northern Andes,25.6291,5.1354
57,D2CA20,Southern Andes,32.6239,24.4173
58,D2CA21,Cerrado and associated dry areas,0.0012,0.0132
59,D2CA21,Coastal Brazil,15.3188,61.009
60,D2CA22,Amazonia,0.3181,4.2644
61,D2CA22,Northern Colombia and Venezuela,6.0249,12.6722
62,D2CA22,Northern Andes,46.5273,65.4348
63,D2CA23,Amazonia,4.6721,100
64,D2CA24,Cerrado and associated dry areas,6.1954,23.3249
