"","Consensus_area","Bioregion","Hb","Hc"
"1","D1CA0","Chacoan subregion","2.7552","62.2827"
"2","D1CA0","Chacoan dominion","0.0283","0.4367"
"3","D1CA0","Parana dominion","15.0969","61.8459"
"4","D1CA0","Cerrado province","0.0723","0.4367"
"5","D1CA0","Atlantic province","29.1312","27.3947"
"6","D1CA0","Parana Forest province","13.5301","34.4512"
"7","D1CA1","Brazilian subregion","2.7633","99.9427"
"8","D1CA1","Pacific dominion","2.2106","13.0056"
"9","D1CA1","Boreal Brazilian dominion","6.5","86.9371"
"10","D1CA1","Sabana province","7.1688","13.0056"
"11","D1CA1","Pantepui province","21.4715","46.2972"
"12","D1CA1","Imerí province","9.9661","40.6466"
"13","D1CA2","Chacoan subregion","3.6293","97.9155"
"14","D1CA2","Chacoan dominion","0.6379","11.7409"
"15","D1CA2","Parana dominion","17.6266","86.1798"
"16","D1CA2","Cerrado province","1.6297","11.7409"
"17","D1CA2","Atlantic province","20.8389","23.3882"
"18","D1CA2","Parana Forest province","20.7022","62.9121"
"19","D1CA3","Chacoan subregion","2.7248","77.3733"
"20","D1CA3","Chacoan dominion","0.1141","2.2104"
"21","D1CA3","Parana dominion","14.6061","75.1629"
"22","D1CA3","Cerrado province","0.2915","2.2104"
"23","D1CA3","Atlantic province","27.1874","32.116"
"24","D1CA3","Parana Forest province","13.4978","43.173"
"25","D1CA4","Brazilian subregion","1.5966","67.9641"
"26","D1CA4","Boreal Brazilian dominion","4.3175","67.9641"
"27","D1CA4","Roraima province","0.0116","0.0337"
"28","D1CA4","Guianan Lowlands province","27.0821","67.9304"
"29","D1CA5","Chacoan subregion","1.0492","73.9093"
"30","D1CA5","Chacoan dominion","0.0074","0.3557"
"31","D1CA5","Parana dominion","5.7619","73.5536"
"32","D1CA5","Cerrado province","0.0189","0.3557"
"33","D1CA5","Atlantic province","10.4518","30.6275"
"34","D1CA5","Parana Forest province","5.4101","42.9261"
"35","D1CA6","Chacoan subregion","1.1563","99.9205"
"36","D1CA6","Chacoan dominion","1.1362","66.9807"
"37","D1CA6","Parana dominion","2.1079","33.0091"
"38","D1CA6","Caatinga province","7.3134","65.9972"
"39","D1CA6","Cerrado province","0.0426","0.9835"
"40","D1CA6","Parana Forest province","3.3913","33.0091"
"41","D1CA7","Brazilian subregion","0.969","100"
