ID,GENUS,NAME1,elevation,elev_min,elev_1stQ,elev_median,elev_mean,elev_3rdQ,elev_max
1,Adenocalymma,Adenocalymma ackermannii,643,306,540.75,631,572.75,663,723
2,Adenocalymma,Adenocalymma ackermannii,306,306,540.75,631,572.75,663,723
3,Adenocalymma,Adenocalymma ackermannii,619,306,540.75,631,572.75,663,723
4,Adenocalymma,Adenocalymma ackermannii,723,306,540.75,631,572.75,663,723
5,Adenocalymma,Adenocalymma adenophorum,44,44,56,100,82.826,100,142
6,Adenocalymma,Adenocalymma adenophorum,65,44,56,100,82.826,100,142
7,Adenocalymma,Adenocalymma adenophorum,100,44,56,100,82.826,100,142
8,Adenocalymma,Adenocalymma adenophorum,65,44,56,100,82.826,100,142
9,Adenocalymma,Adenocalymma adenophorum,65,44,56,100,82.826,100,142
10,Adenocalymma,Adenocalymma adenophorum,100,44,56,100,82.826,100,142
11,Adenocalymma,Adenocalymma adenophorum,100,44,56,100,82.826,100,142
12,Adenocalymma,Adenocalymma adenophorum,100,44,56,100,82.826,100,142
13,Adenocalymma,Adenocalymma adenophorum,100,44,56,100,82.826,100,142
14,Adenocalymma,Adenocalymma adenophorum,100,44,56,100,82.826,100,142
15,Adenocalymma,Adenocalymma adenophorum,59,44,56,100,82.826,100,142
16,Adenocalymma,Adenocalymma adenophorum,100,44,56,100,82.826,100,142
17,Adenocalymma,Adenocalymma adenophorum,100,44,56,100,82.826,100,142
18,Adenocalymma,Adenocalymma adenophorum,53,44,56,100,82.826,100,142
19,Adenocalymma,Adenocalymma adenophorum,100,44,56,100,82.826,100,142
20,Adenocalymma,Adenocalymma adenophorum,100,44,56,100,82.826,100,142
21,Adenocalymma,Adenocalymma adenophorum,100,44,56,100,82.826,100,142
22,Adenocalymma,Adenocalymma adenophorum,100,44,56,100,82.826,100,142
23,Adenocalymma,Adenocalymma adenophorum,142,44,56,100,82.826,100,142
24,Adenocalymma,Adenocalymma adenophorum,53,44,56,100,82.826,100,142
25,Adenocalymma,Adenocalymma adenophorum,53,44,56,100,82.826,100,142
26,Adenocalymma,Adenocalymma adenophorum,53,44,56,100,82.826,100,142
27,Adenocalymma,Adenocalymma adenophorum,53,44,56,100,82.826,100,142
28,Adenocalymma,Adenocalymma albiflorum,144,8,30.25,81.5,133.74,237.75,368
29,Adenocalymma,Adenocalymma albiflorum,8,8,30.25,81.5,133.74,237.75,368
30,Adenocalymma,Adenocalymma albiflorum,76,8,30.25,81.5,133.74,237.75,368
31,Adenocalymma,Adenocalymma albiflorum,291,8,30.25,81.5,133.74,237.75,368
32,Adenocalymma,Adenocalymma albiflorum,36,8,30.25,81.5,133.74,237.75,368
33,Adenocalymma,Adenocalymma albiflorum,34,8,30.25,81.5,133.74,237.75,368
34,Adenocalymma,Adenocalymma albiflorum,49,8,30.25,81.5,133.74,237.75,368
35,Adenocalymma,Adenocalymma albiflorum,27,8,30.25,81.5,133.74,237.75,368
36,Adenocalymma,Adenocalymma albiflorum,27,8,30.25,81.5,133.74,237.75,368
37,Adenocalymma,Adenocalymma albiflorum,29,8,30.25,81.5,133.74,237.75,368
38,Adenocalymma,Adenocalymma albiflorum,29,8,30.25,81.5,133.74,237.75,368
39,Adenocalymma,Adenocalymma albiflorum,76,8,30.25,81.5,133.74,237.75,368
40,Adenocalymma,Adenocalymma albiflorum,82,8,30.25,81.5,133.74,237.75,368
41,Adenocalymma,Adenocalymma albiflorum,41,8,30.25,81.5,133.74,237.75,368
42,Adenocalymma,Adenocalymma albiflorum,29,8,30.25,81.5,133.74,237.75,368
43,Adenocalymma,Adenocalymma albiflorum,25,8,30.25,81.5,133.74,237.75,368
